recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
95;58462;SPÅRFILM;1997-02-11 00:00:00.000;1998-02-09 00:00:00.000;363 dygn;VARDAGSRUM;59.0000;;Bq/m³ Radongas;SOVRUM;57.0000;;;;;;;;;;;58.0000;;BJÖRKSOPPEN 8;KÅGEVÄGEN 40 C;;;;;;;KAROLINSKA INSTITUTET;SKELLEFTEÅ;931 38;FLERPLANSHUS;;;;;;0;MEKANISK FRÅNLUFT;7193814.660000000000000;1745801.750000000000000
96;58462;SPÅRFILM;1997-02-11 00:00:00.000;1997-05-05 00:00:00.000;83 dygn;VARDAGSRUM;74.0000;;Bq/m³ Radongas;SOVRUM;82.0000;;;;;;;;;;;78.0000;;BJÖRKSOPPEN 8;KÅGEVÄGEN 40 C;;;;;;;KAROLINSKA INSTITUTET;SKELLEFTEÅ;931 38;FLERPLANSHUS;;;;;;0;MEKANISK FRÅNLUFT;7193814.660000000000000;1745801.750000000000000
97;6387;SPÅRFILM;1997-01-21 00:00:00.000;1997-04-23 00:00:00.000;92 dygn;VARDAGSRUM;30.0000;;Bq/m³ Radongas;SOVRUM;30.0000;;;;;;;;;;;30.0000;;BJÖRNEN 2;NYGATAN 12;;;;;;;;;;;;;;;;;;7192878.000000000000000;1744343.000000000000000
100;6390;SPÅRFILM;1995-10-18 00:00:00.000;1995-12-30 00:00:00.000;73 dygn;SOVRUM;180.0000;+-20;Bq/m³ Radongas;GILLESTUGA;230.0000;+-30;;;;;;;;;;210.0000;;BLOCKET 2;BLOCKVÄGEN 25;;1;0;;;;MRM KONSULT AB;;;VILLA;1968;;OKÄNT;;KÄLLARE;;VÄRMEÅTERVINNING;7193801.000000000000000;1746621.000000000000000
104;6394;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BLOCKFLÖJTEN 12;EKORRV. 11;;;;;;;;;;;;;;;;;;;
105;6395;SPÅRFILM;1996-01-13 00:00:00.000;1996-05-17 00:00:00.000;125 dygn;SOVRUM;160.0000;+-20;Bq/m³ Radongas;VARDAGSRUM;80.0000;+-10;SOVRUM;60.0000;+-10;HALL;80.0000;+-10;;;;110.0000;;BLÅFORS 1:21;BLÅFORS 207;;0;1;2;2;;MRM KONSULT AB;;;PERMANENTBOSTAD;1953;1987;;;KÄLLARE;;SJÄLVDRAG;7236702.360000000000000;782764.970000000000000
107;6397;RM-3;;;24;;46.0000;;BQ/M3;;;;;;;;;;;;;;;BODBYN 15:33;BODBYSUND 25;;;;;;;;;;;;;;;;;;;
108;6398;SPÅRFILM;1997-01-29 00:00:00.000;1997-05-14 00:00:00.000;105 dygn;VARDAGSRUM;109.0000;;Bq/m³ Radongas;SOVRUM;97.0000;;;;;;;;;;;103.0000;;BODBYN 2:33;BODBYSUND 79;;;;;;;;;;;;;;;;;;7164355.000000000000000;1737155.000000000000000
109;6399;SPÅRFILM;1996-02-27 00:00:00.000;1996-05-04 00:00:00.000;67 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;50.0000;;BODBYN 2:34;;;;;;;;;;;;;;;;;;;;
111;6401;RM-3;;;24;;203.0000;;BQ/M3;;;;;;;;;;;;;;;BORGFORS 1:3;;;;;;;;;;;;;;;;;;;;
112;6401;RM-3;;;2424;;205.0000;;BQ/M3;;;;;;;;;;;;;;;BORGFORS 1:3;;;;;;;;;;;;;;;;;;;;
113;6403;RM-3;;;;;95.0000;;BQ/M3;;;;;;;;;;;;;;;BOVIKEN 1:67;;;;;;;;;;;;;;;;;;;;
114;6404;SPÅRFILM;1996-02-15 00:00:00.000;1996-04-21 00:00:00.000;66 dygn;VARDAGSRUM;180.0000;+- 20;Radongas;SOVRUM;170.0000;+- 20;;;;;;;;;;170.0000;;BOVIKEN 4:63;BOVIKEN 219;;1;1;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;1987;;;;KRYPGRUND;;SJÄLVDRAG;7198760.000000000000000;1748498.000000000000000
115;6405;SPÅRFILM;1997-02-11 00:00:00.000;1997-05-05 00:00:00.000;83 dygn;VARDAGSRUM;20.0000;;Bq/m³ Radongas;SOVRUM;20.0000;;;;;;;;;;;20.0000;;BRAHE 13;NORRA JÄRNVÄGSGAT. 9;;;;;;;KAROLINSKA INSTITUTET;;;FLERPLANSHUS;;;;;;;SJÄLVDRAG;7193306.000000000000000;1744711.000000000000000
117;62215;SPÅRFILM;1990-11-29 00:00:00.000;1991-03-12 00:00:00.000;103 dygn;VARDAGSRUM;216.0000;+- 20;Bq/m³ Radongas;SOVRUM;210.0000;+- 20;;;;;;;;;;220.0000;;BRAHE 28;NORRBÖLEGATAN 6B;;1;1;;;;SVERIGES GEOLOGISKA AB;;;FLERPLANSHUS;1978;;BLÅ BETONG;;;0;SJÄLVDRAG;;
118;6408;TLD;1989-03-03 00:00:00.000;1989-03-29 00:00:00.000;26 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;220.0000;;BRANTEN 1;BLOCKVÄGEN 1;;;;;;;;;;VILLA;1967;;OKÄNT;;SOUTERRÄNG;;SJÄLVDRAG;7193758.000000000000000;1746396.000000000000000
119;6408;SPÅRFILM;1995-10-18 00:00:00.000;1996-01-18 00:00:00.000;92 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;170.0000;;BRANTEN 1;BLOCKV.  1;;;;;;;;;;VILLA;1967;;OKÄNT;;SOUTERRÄNG;;SJÄLVDRAG;7193758.000000000000000;1746396.000000000000000
120;6410;SPÅRFILM;1995-03-15 00:00:00.000;1995-04-30 00:00:00.000;46 dygn;SOVRUM;70.0000;+-10;Bq/m³ Radongas;VARDAGSRUM;70.0000;+-10;;;;;;;;;;;;BRANTEN 10;BLOCKVÄGEN 19;;1;1;;;;MRM KONSULT AB;;;VILLA;1967;;OKÄNT;BERG;PLATTA PÅ MARK;;SJÄLVDRAG;7193865.000000000000000;1746552.000000000000000
123;6412;TLD;1989-03-01 00:00:00.000;1989-03-28 00:00:00.000;27 dygn;SOVRUM;320.0000;;Bq/m³ Radongas;SUTERRÄNG;2260.0000;;;;;;;;;;;;;BRANTEN 2;BLOCKVÄGEN 3;;;;;;;;;;VILLA;1964;;OKÄNT;BERG;SOUTERRÄNG;;MEKANISK FRÅNLUFT;7193779.000000000000000;1746377.000000000000000
124;6412;SPÅRFILM;1992-01-13 00:00:00.000;1992-03-06 00:00:00.000;53 dygn;SOVRUM;82.0000;;Bq/m³ Radongas;KÄLLARE;502.0000;;;;;;;;;;;;;BRANTEN 2;BLOCKVÄGEN 3;;1;0;;;;;;;VILLA;1964;;OKÄNT;BERG;SOUTERRÄNG;;MEKANISK FRÅNLUFT;7193779.000000000000000;1746377.000000000000000
125;6415;RM-3;;;24;;830.0000;;BQ/M3;;;;;;;;;;;;;;;BRANTEN 3;BLOCKV.  5;;;;;;;;;;;;;;;;;;;
126;6415;TLD;;;;;;;BQ/M3;;;;;;;;;;;;;;;BRANTEN 3;BLOCKV.  5;;;;;;;;;;;;;;;;;;;
127;6415;;;;;;;;BQ/M3;;;;;;;;;;;;;480.0000;;BRANTEN 3;BLOCKV.  5;;;;;;;;;;;;;;;;;;;
128;6415;SPÅRFILM;;;;;;;BQ/M3;;;;;;;;;;;;;1980.0000;;BRANTEN 3;BLOCKV.  5;;;;;;;;;;;;;;;;;;;
129;6419;TLD;1989-03-03 00:00:00.000;1989-03-28 00:00:00.000;25 dygn;;6820.0000;+-40;Bq/m³ Radongas;;7880.0000;+-40;;;;;;;;;;7340.0000;;BRANTEN 4;BLOCKVÄGEN 7;;B-PLAN;SUT-PLAN;;;;SVERIGES GEOLOGISKA AB;;;VILLA;1967;;OKÄNT;BERG;SOUTERRÄNG;;VÄRMEÅTERVINNING;7193847.000000000000000;1746373.000000000000000
130;6420;SPÅRFILM;1997-01-27 00:00:00.000;1997-04-09 00:00:00.000;72 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;40.0000;;BRANTEN 3;BLOCKVÄGEN 5;;;;;;;;;;;;;;;;;;;
134;6424;SPÅRFILM;1995-12-12 00:00:00.000;1996-03-12 00:00:00.000;91 dygn;SOVRUM;180.0000;+-20;Bq/m³ Radongas;SOVRUM;310.0000;+-30;;;;;;;;;;250.0000;;BRANTEN 7;BLOCKVÄGEN 13;;1;0;;;;MRM KONSULT AB;;;VILLA;1972;;OKÄNT;BERG;PLATTA PÅ MARK;;SJÄLVDRAG;7193885.000000000000000;1746465.000000000000000
136;6426;E-PERM;1991-11-13 00:00:00.000;1991-11-22 00:00:00.000;9 dygn;GILLESTUGA;272.0000;+-40;Bq/m³ Radongas;VARDAGSRUM;246.0000;+-40;;;;;;;;;;260.0000;;BRANTEN 9;BLOCKVÄGEN 17;;;1;;;;MRM KONSULT AB;;;VILLA;1971;;OKÄNT;BERG;KÄLLARE;;SJÄLVDRAG;7193877.000000000000000;1746525.000000000000000
137;6426;SPÅRFILM;1993-01-20 00:00:00.000;1993-03-29 00:00:00.000;68 dygn;GILLESTUGA;248.0000;+-22;Bq/m³ Radongas;VARDAGSRUM;158.0000;+-14;;;;;;;;;;200.0000;;BRANTEN 9;BLOCKVÄGEN 17;;0;1;;;;MRM KONSULT AB;;;VILLA;1971;;OKÄNT;BERG;KÄLLARE;;SJÄLVDRAG;7193877.000000000000000;1746525.000000000000000
138;6428;;;;;;;;BQ/M3;;;;;;;;;;;;;;;BRÖDTICKAN 11;HÄGGBOMSG. 9;;;;;;;;;;;;;;;;;;;
139;6429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PERMANENTBOSTAD;1956;;BLÅ BETONG;;PLATTA PÅ MARK;;SJÄLVDRAG;7194028.000000000000000;1745343.000000000000000
140;6429;;1991-01-03 00:00:00.000;1991-05-22 00:00:00.000;139 dygn;TV RUM;390.0000;+- 20;Bq/m³ Radongas;SOVRUM;398.0000;+- 20;;;;;;;;;;400.0000;+- 80;BRÖDTICKAN 8;JÄGARVÄGEN35;;1;2;;;;SGAD RADON;;;PERMANENTBOSTAD;1956;;BLÅ BETONG;;PLATTA PÅ MARK;;SJÄLVDRAG;7194028.000000000000000;1745343.000000000000000
141;6429;;1982-02-01 00:00:00.000;1982-04-28 00:00:00.000;86 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;880.0000;;BRÖDTICKAN 8;JÄGARV. 35;;;;;;;;;;PERMANENTBOSTAD;1956;;BLÅ BETONG;;PLATTA PÅ MARK;;SJÄLVDRAG;7194028.000000000000000;1745343.000000000000000
142;6429;;1981-02-26 00:00:00.000;1981-05-25 00:00:00.000;88 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;920.0000;;BRÖDTICKAN 8;JÄGARVÄGEN 35;;;;;;;;;;PERMANENTBOSTAD;1956;;BLÅ BETONG;;PLATTA PÅ MARK;;SJÄLVDRAG;7194028.000000000000000;1745343.000000000000000
143;6433;RM-3;;;24;;29.0000;;BQ/M3;;;;;;;;;;;;;;;BUREÅ 2:54;;;;;;;;;;;;;;;;;;;;
144;6434;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BUREÅ 20:3;DISPONENTVÄGEN 37;;;;;;;;;;;;;;;;;;;
145;6435;SPÅRFILM;1997-01-21 00:00:00.000;1997-04-24 00:00:00.000;93 dygn;VARDAGSRUM;50.0000;;Bq/m³ Radongas;SOVRUM;46.0000;;;;;;;;;;;48.0000;;BUREÅ 29:2;NYGATAN 1;;;;;;;;;;FLERBOSTADSHUS;1967;;OKÄNT;;KÄLLARE;;MEKANISK FRÅNLUFT;7179423.000000000000000;1757908.000000000000000
146;6436;RM-3;;;24;;50.0000;;BQ/M3;;;;;;;;;;;;;;;BUREÅ 37:1;NYGATAN     2 M.FL.;;;;;;;;;;;;;;;;;;;
147;6437;SPÅRFILM;1997-01-30 00:00:00.000;1997-04-28 00:00:00.000;88 dygn;VARDAGSRUM;43.0000;;Bq/m³ Radongas;SOVRUM;22.0000;;;;;;;;;;;32.0000;;BUREÅ 4:38;VILLAVÄGEN 35;;;;;;;KAROLINSKA INSTITUTET;;;;;;;;;;;7178917.000000000000000;1758774.000000000000000
148;6438;SPÅRFILM;1997-01-21 00:00:00.000;1997-04-24 00:00:00.000;93 dygn;VARDAGSRUM;26.0000;;Bq/m³ Radongas;SOVRUM;20.0000;;;;;;;;;;;23.0000;;BUREÅ 56:5;VILLAVÄGEN 27;;;;;;;KAROLINSKA INSTITUTET;;;;;;;;;;;7178748.000000000000000;1758808.000000000000000
149;6439;RM-3;;;24;;46.0000;;BQ/M3;;;;;;;;;;;;;;;BUREÅ 6:46;;;;;;;;;;;;;;;;;;;;
150;6440;SPÅRFILM;1992-12-15 00:00:00.000;1993-03-03 00:00:00.000;78 dygn;SOVRUM;30.0000;+- 10;Radondotter;SOVRUM;30.0000;+- 10;;;;;;;;;;30.0000;;BUREÅ 7:103;KABELVÄGEN 32;;1;2;;;;MRM KONSULT AB;;;VILLA;1944;1968;;;KÄLLARE;;SJÄLVDRAG;7179376.000000000000000;1757049.000000000000000
151;6441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VILLA;1948;;BLÅ BETONG;;KÄLLARE;;SJÄLVDRAG;7179390.000000000000000;1758437.000000000000000
152;6441;SPÅRFILM;1995-02-24 00:00:00.000;1995-04-21 00:00:00.000;56 dygn;MATRUM;570.0000;+- 50;Radongas;SOVRUM;560.0000;+- 40;;;;;;;;;;560.0000;;BUREÅ 70:3;SKÄRVÄGEN 24;;1;2;;;;MRM KONSULT AB;;;VILLA;1948;;BLÅ BETONG;;KÄLLARE;;SJÄLVDRAG;7179390.000000000000000;1758437.000000000000000
153;6441;SPÅRFILM;1990-12-27 00:00:00.000;1991-03-25 00:00:00.000;88 dygn;VARDAGSRUM;309.0000;+- 20;Bq/m³ Radongas;SOVRUM;80.0000;+- 20;;;;;;;;;;380.0000;;BUREÅ 70:3;SKÄRVÄGEN 24;;1;2;;;;SVERIGES GEOLOGISKA AB;;;VILLA;1948;;BLÅ BETONG;;KÄLLARE;;SJÄLVDRAG;7179390.000000000000000;1758437.000000000000000
154;6441;SPÅRFILM;1981-02-24 00:00:00.000;1981-05-25 00:00:00.000;90 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;580.0000;;BUREÅ 70:3;SKÄRVÄGEN 24;;;;;;;;;;VILLA;1948;;BLÅ BETONG;;KÄLLARE;;SJÄLVDRAG;7179390.000000000000000;1758437.000000000000000
155;6445;RM-3;;;24;;42.0000;;BQ/M3;;;;;;;;;;;;;;;BUREÅ 73:9;BJÖRKGATAN 16;;;;;;;;;;;;;;;;;;;
156;6446;SPÅRFILM;1997-01-21 00:00:00.000;1997-04-24 00:00:00.000;93 dygn;VARDAGSRUM;20.0000;;Bq/m³ Radongas;SOVRUM;20.0000;;;;;;;;;;;20.0000;;BUREÅ 8:46;SÖDRA ÅGATAN 18;;;;;;;KAROLINSKA INSTITUTET;;;;;;;;;;;7179122.000000000000000;1757634.000000000000000
157;6447;RM-3;;;24;;18.0000;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-GAMMELBYN 103:6;SUNDBROGATAN 17;;;;;;;;;;;;;;;;;;;
158;6448;RM-3;;;24;;33.0000;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-GAMMELBYN 106:13;KAMVÄGEN 38;;;;;;;;;;;;;;;;;;;
159;6449;SPÅRFILM;;;;;;;BQ/M3;;;;;;;;;;;;;40.0000;;BURTRÄSKS-GAMMELBYN 20:23;BJÖRNÅKERSGATAN 17;;;;;;;;;;;;;;;;;;7165947.000000000000000;1732841.000000000000000
160;6450;;1981-02-25 00:00:00.000;1981-06-01 00:00:00.000;96 dygn;VARDAGSRUM;386.0000;;Bq/m³ Radongas;SOVRUM;566.0000;;;;;;;;;;;500.0000;+-160;BURTRÄSKS-GAMMELBYN 78:5;VILLAGATAN 11;;1;1;;;;;;;PERMANENTBOSTAD;1954;;BLÅ BETONG;;KÄLLARE;;VÄRMEÅTERVINNING ( FTX );7165782.000000000000000;1732520.000000000000000
162;6452;;1991-01-03 00:00:00.000;1991-03-31 00:00:00.000;87 dygn;VARDAGSRUM;592.0000;;Bq/m³ Radongas;SOVRUM;652.0000;;;;;;;;;;;620.0000;;BURTRÄSKS-GAMMELBYN 79:9;SKOLGATAN 8;;1;1;;;;SVERIGES GEOLOGISKA AB;;;PERMANENTBOSTAD;1956;;BLÅ BETONG;;KÄLLARE;;SJÄLVDRAG;7165889.000000000000000;1732514.000000000000000
163;6453;RM-3;;;24;;38.0000;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-GAMMELBYN 85:1;PRÄSTGATAN 2;;;;;;;;;;;;;;;;;;;
164;6454;RM-3;;;24;;90.0000;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-GAMMELBYN 86:14;BJÖRNÅKERSGATAN 21;;;;;;;;;;;;;;;;;;;
165;6455;RM-3;;;24;;50.0000;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-GAMMELBYN 86:9;KAMVÄGEN 6;;;;;;;;;;;;;;;;;;;
166;6456;RM-3;;;24;;33.0000;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-GAMMELBYN 92:6;KAMVÄGEN 14;;;;;;;;;;;;;;;;;;;
169;6457;SPÅRFILM;1991-02-27 00:00:00.000;1991-04-22 00:00:00.000;54 dygn;VARDAGSRUM;306.0000;+- 20;Bq/m³ Radongas;SOVRUM;340.0000;+- 20;;;;;;;;;;320.0000;+- 64;BURTRÄSKS-GAMMELBYN 97:17;KÖPMANGATAN 8;;2;2;;;;SVERIGES GEOLOGISKA AB;;;ANNAN BYGGNAD;;;BLÅ BETONG;;;;;7166235.000000000000000;1732906.000000000000000
170;6457;;1982-02-05 00:00:00.000;1982-04-26 00:00:00.000;80 dygn;VARDAGSRUM;696.0000;;Bq/m³ Radongas;SOVRUM;580.0000;;;;;;;;;;;660.0000;;BURTRÄSKS-GAMMELBYN 97:17;KÖPMANGATAN 8;;2;2;;;;;;;ANNAN BYGGNAD;;;BLÅ BETONG;;;;;7166235.000000000000000;1732906.000000000000000
171;6461;;;;;;;;BQ/M3;;;;;;;;;;;;;150.0000;;BURTRÄSKS-GAMMELBYN 98:6;FINNÅKERSGATAN 7;;;;;;;;;;;;;;;;;;;
172;6461;;;;;;;;BQ/M3;;;;;;;;;;;;;290.0000;;BURTRÄSKS-GAMMELBYN 98:6;FINNÅKERSGATAN 7;;;;;;;;;;;;;;;;;;;
173;6461;;;;;;;;BQ/M3;;;;;;;;;;;;;190.0000;;BURTRÄSKS-GAMMELBYN 98:6;FINNÅKERSGATAN 7;;;;;;;;;;;;;;;;;;;
174;6461;;;;;;;;BQ/M3;;;;;;;;;;;;;130.0000;;BURTRÄSKS-GAMMELBYN 98:6;FINNÅKERSGATAN 7;;;;;;;;;;;;;;;;;;;
175;6461;;;;;;;;BQ/M3;;;;;;;;;;;;;370.0000;;BURTRÄSKS-GAMMELBYN 98:6;FINNÅKERSGATAN 7;;;;;;;;;;;;;;;;;;;
176;6461;;;;;;;;BQ/M3;;;;;;;;;;;;;140.0000;;BURTRÄSKS-GAMMELBYN 98:6;FINNÅKERSGATAN 7;;;;;;;;;;;;;;;;;;;
177;6461;;;;;;;;BQ/M3;;;;;;;;;;;;;110.0000;;BURTRÄSKS-GAMMELBYN 98:6;FINNÅKERSGATAN 7;;;;;;;;;;;;;;;;;;;
178;6468;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-ÅBYN 3:32;SKRÅMTRÄSKVÄGEN 22;;;;;;;;;;;;;;;;;;;
179;6469;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BURTRÄSKS-ÅBYN 3:6;SKRÅMTRÄSKVÄGEN 20;;;;;;;;;;;;;;;;;;;
180;6470;;;;24;;56.0000;;BQ/M3;;;;;;;;;;;;;;;BURVIK 4:49;;;;;;;;;;;;;;;;;;;;
181;6471;;1997-08-12 00:00:00.000;;;BERGBORRAD BRUNN;830.0000;+- 80;Bq/l;;;;;;;;;;;;;;;BURVIK 7:29;;;;;;;;MRM KONSULT AB;;;;;;MARKRADON;;;;;7175136.000000000000000;1765930.000000000000000
182;6472;RM-3;;;24;;30.0000;;BQ/M3;;;;;;;;;;;;;;;BYGDSILJUM 24:1;BARKGATAN 17;;;;;;;;;;;;;;;;;;;
183;6473;;1990-12-06 00:00:00.000;1991-03-06 00:00:00.000;90 dygn;SOVRUM;356.0000;+- 20;Bq/m³ Radongas;VARDAGSRUM;250.0000;+- 20;;;;;;;;;;300.0000;+- 86;BYGDSILJUM 8:36;BURTRÄSKVÄGEN 7;;2;1;;;;;;;PERMANENTBOSTAD;;;BLÅ BETONG;;KÄLLARE;;;7146734.000000000000000;1726890.000000000000000
184;6473;;1981-02-25 00:00:00.000;1981-06-01 00:00:00.000;96 dygn;VARDAGSRUM;382.0000;;Bq/m³ Radongas;SOVRUM;340.0000;;SOVRUM;472.0000;;;;;;;;400.0000;+- 65;BYGDSILJUM 8:36;BURTRÄSKVÄGEN 7;;1;1;2;;;;;;PERMANENTBOSTAD;;;BLÅ BETONG;;KÄLLARE;;;7146734.000000000000000;1726890.000000000000000
185;6475;SPÅRFILM;1997-02-10 00:00:00.000;1997-05-13 00:00:00.000;92 dygn;VARDAGSRUM;48.0000;;Bq/m³ Radongas;SOVRUM;61.0000;;;;;;;;;;;54.0000;;BYGDSILJUM 8:58;GRUVBERGSVÄGEN 6;;;;;;;MRM KONSULT AB;;;;;;;;;;;7146747.000000000000000;1726789.000000000000000
186;6476;;;;;;;;BQ/M3;;;;;;;;;;;;;80.0000;;BYSKE 1:130;BRUKSGATAN 17;;;;;;;;;;;;;;;;;;;
187;6476;SPÅRFILM;;;;;;;BQ/M3;;;;;;;;;;;;;170.0000;;BYSKE 1:130;BRUKSGATAN 17;;;;;;;;;;;;;;;;;;;
188;6478;;;;;;;;BQ/M3;;;;;;;;;;;;;50.0000;;BYSKE 1:218;LÄGERGATAN 10;;;;;;;;;;;;;;;;;;;
189;6479;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BYSKE 1:227;MANTELGATAN 13;;;;;;;;;;;;;;;;;;;
191;6480;SPÅRFILM;1991-01-14 00:00:00.000;1991-04-15 00:00:00.000;91 dygn;VARDAGSRUM;220.0000;+- 40;Bq/m³ Radongas;SOVRUM;84.0000;+- 40;;;;;;;;;;160.0000;;BYSKE 1:40;VILLAGATAN 7;;1;2;;;;SVERIGES GEOLOGISKA AB;;;VILLA;1909;;OKÄNT;;KÄLLARE & KRYP/;;SJÄLVDRAG;7215859.000000000000000;1754847.000000000000000
192;6482;SPÅRFILM;1997-01-27 00:00:00.000;1997-04-28 00:00:00.000;91 dygn;VARDAGSRUM;94.0000;;Bq/m³ Radongas;SOVRUM;59.0000;;;;;;;;;;;76.0000;;BYSKE 2:32;FORSGATAN 9;;;;;;;KAROLINSKA INSTITUTET;;;;;;;;;;;7216488.000000000000000;1754259.000000000000000
193;6483;;;;24;;36.0000;;BQ/M3;;;;;;;;;;;;;;;BYSKE 44:2;;;;;;;;;;;;;;;;;;;;
194;6484;SPÅRFILM;1991-02-26 00:00:00.000;1991-05-05 00:00:00.000;68 dygn;VARDAGSRUM;214.0000;+- 40;Bq/m³ Radongas;SOVRUM;190.0000;+- 40;;;;;;;;;;200.0000;;BYSKE 58:33;TRAPPGATAN 20;;1;1;;;;SGAB RADON;;;RADHUS;1972;2006;OKÄNT;;KRYPGRUND;;SJÄLVDRAG;7215575.000000000000000;1754917.000000000000000
195;6485;;;;;;;;BQ/M3;;;;;;;;;;;;;193.0000;;BYSKE 58:35;TRAPPGATAN 16;;;;;;;;;;;;;;;;;;;
196;6486;SPÅRFILM;1991-02-26 00:00:00.000;1991-04-26 00:00:00.000;59 dygn;VARDAGSRUM;130.0000;+- 40;Bq/m³ Radongas;SOVRUM;112.0000;+- 40;;;;;;;;;;120.0000;;BYSKE 58:42;TRAPPGATAN 34;;1;1;;;;;;;;;;MARKRADON;;;;;7215503.000000000000000;1754983.000000000000000
197;6487;RM-3;;;24;;15.0000;;BQ/M3;;;;;;;;;;;;;;;BYSKE 6:51;;;;;;;;;;;;;;;;;;;;
198;6488;;1999-06-21 00:00:00.000;;;;840.0000;+- 40;Bq/l;;;;;;;;;;;;;840.0000;;BYSKE 6:55;;;;;;;;MRM KONSULT AB;;;VILLA;1979;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7217377.000000000000000;1759668.000000000000000
199;6489;RM-3;;;24;;174.0000;;BQ/M3;;;;;;;;;;;;;;;BYSKE 68:1;ÄPPELSTIGEN 2;;;;;;;;;;;;;;;;;;;
200;6490;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BYSKE 69:7;FURUÖGRUNDSVÄGEN 9;;;;;;;;;;;;;;;;;;;
201;6491;SPÅRFILM;1997-02-03 00:00:00.000;1997-04-28 00:00:00.000;84 dygn;VARDAGSRUM;20.0000;;Bq/m³ Radongas;SOVRUM;20.0000;;;;;;;;;;;20.0000;;BYSKE 7:31;BANKGATAN 20;;;;;;;;;;;;;;;;;;7216691.000000000000000;1754835.000000000000000
202;6492;SPÅRFILM;1991-01-15 00:00:00.000;1991-05-01 00:00:00.000;106 dygn;VARDAGSRUM;254.0000;+- 40;Bq/m³ Radongas;SOVRUM;236.0000;+- 40;;;;;;;;;;240.0000;;BYSKE 70:80;BACKGATAN  2;;1;2;;;;SGAB RADON;BYSKE;930 47;VILLA;1979;;;;;;SJÄLVDRAG;7216058.000000000000000;1754826.000000000000000
205;6493;SPÅRFILM;1993-03-30 00:00:00.000;1993-05-02 00:00:00.000;33 dygn;VARDAGSRUM;174.0000;+- 18;Bq/m³ Radongas;SOVRUM;160.0000;+- 16;;;;;;;;;;160.0000;;BYSKE 70:9;ÄPPELSTIGEN 3;;1;2;;;;SVERIGES GEOLOGISKA AB;;;PERMANENTBOSTAD;1900;1963;;;KRYPGRUND;;SJÄLVDRAG;7216029.000000000000000;1754812.000000000000000
206;6493;SPÅRFILM;1991-01-14 00:00:00.000;1991-04-15 00:00:00.000;91 dygn;VARDAGSRUM;514.0000;+- 40;Bq/m³ Radongas;SOVRUM;438.0000;+- 40;;;;;;;;;;480.0000;;BYSKE 70:9;ÄPPELSTIGEN 3;;1;2;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;1900;1963;;;KRYPGRUND;;SJÄLVDRAG;7216029.000000000000000;1754812.000000000000000
207;6497;;;;24;;182.0000;;BQ/M3;;;;;;;;;;;;;;;BYSKE 8:76;RINGVÄGEN 4;;;;;;;;;;;;;;;;;;;
208;6498;;1998-04-21 00:00:00.000;;;BERGBORRAD BRUNN;6340.0000;+-230;Bq/l;;;;;;;;;;;;;6340.0000;;BYSKE 8:89;;;;;;;;MRM KONSULT AB;;;VILLA;1973;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7216449.000000000000000;1753519.000000000000000
209;6499;RM-3;;;24;;100.0000;;BQ/M3;;;;;;;;;;;;;;;BYSKE 81:8;RINGVÄGEN 7;;;;;;;;;;;;;;;;;;;
